(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin
1.0,2.0,0.0,0.5
64.0,2.0,3.125,128.0
4.0,4.0,1600.0,4.0
0.5,0.5,400.0,8.0
0.125,0.0625,100.0,0.0
32.0,8.0,400.0,128.0
0.125,8.0,800.0,0.0
0.25,16.0,0.0,4.0
0.5,32.0,3200.0,0.5
1.0,0.03125,50.0,64.0
128.0,0.5,100.0,32.0
64.0,4.0,6.25,1.0
0.5,4.0,50.0,0.0
1.0,16.0,100.0,64.0
0.5,32.0,100.0,256.0
64.0,4.0,100.0,512.0
64.0,0.5,50.0,0.0
4.0,0.0,800.0,0.0
1.0,8.0,400.0,0.5
32.0,0.0625,0.0,128.0
64.0,0.25,25.0,2.0
0.0,0.125,6.25,0.5
128.0,32.0,12.5,32.0
8.0,1.0,6.25,0.5
8.0,0.03125,400.0,64.0
0.25,0.125,0.0,32.0
32.0,0.03125,400.0,2.0
0.125,0.0625,3200.0,64.0
0.0,8.0,12.5,256.0
1.0,0.125,200.0,128.0
128.0,4.0,400.0,0.0
1.0,8.0,6.25,256.0
0.125,0.03125,400.0,4.0
16.0,8.0,3.125,128.0
0.0,0.5,400.0,256.0
1.0,0.0,400.0,2.0
128.0,0.03125,50.0,64.0
8.0,4.0,3.125,16.0
0.125,0.25,200.0,1.0
0.25,1.0,0.0,0.5
1.0,0.0,200.0,32.0
16.0,0.25,0.0,128.0
2.0,4.0,12.5,32.0
0.5,16.0,100.0,16.0
2.0,0.25,200.0,8.0
0.5,0.03125,50.0,32.0
0.25,0.5,12.5,2.0
16.0,0.5,100.0,16.0
64.0,0.0625,200.0,4.0
1.0,0.125,25.0,16.0
0.5,2.0,1600.0,128.0
0.5,0.25,12.5,8.0
0.0,0.125,50.0,2.0
64.0,0.25,6.25,512.0
