(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin
4.0,4.0,1600.0,32
0.25,4.0,6.25,0
2.0,4.0,50.0,0
2.0,16.0,400.0,256
0.0,0.125,200.0,1
8.0,0.25,400.0,8
2.0,0.5,1600.0,4
0.25,1.0,400.0,512
64.0,2.0,200.0,1
0.5,0.0,1600.0,1
0.25,1.0,0.0,4
1.0,4.0,12.5,512
0.0,1.0,3200.0,1
16.0,8.0,50.0,64
1.0,0.125,800.0,2
64.0,32.0,200.0,32
64.0,2.0,400.0,512
4.0,0.5,6.25,1
1.0,8.0,12.5,64
1.0,0.5,3200.0,64
16.0,32.0,200.0,1
0.0,0.125,100.0,0
16.0,4.0,100.0,0
1.0,0.0625,0.0,8
0.25,4.0,400.0,256
4.0,0.25,100.0,8
2.0,0.0625,800.0,256
8.0,0.125,1600.0,1
0.0,0.125,50.0,256
32.0,0.5,100.0,128
128.0,0.0,25.0,8
8.0,32.0,1600.0,1
2.0,0.5,800.0,512
8.0,4.0,800.0,8
64.0,2.0,25.0,1
0.5,0.5,3200.0,0
128.0,0.0,200.0,128
64.0,8.0,800.0,2
64.0,4.0,100.0,128
0.5,4.0,3200.0,512
1.0,16.0,50.0,4
8.0,0.5,1600.0,4
0.5,0.0,1600.0,8
2.0,0.125,50.0,8
2.0,2.0,100.0,0
8.0,0.5,100.0,4
0.25,0.0625,25.0,2
2.0,32.0,3200.0,2
32.0,2.0,400.0,0
32.0,8.0,12.5,128
1.0,16.0,50.0,2
4.0,0.25,0.0,32
8.0,1.0,6.25,64
1.0,0.0625,1600.0,0
