,0,1,2,3
0,128.0,128.0,128.0,128.0
1,128.0,128.0,128.0,64.0
2,128.0,128.0,128.0,32.0
3,128.0,128.0,128.0,16.0
4,128.0,128.0,128.0,8.0
5,128.0,128.0,128.0,4.0
6,128.0,128.0,128.0,2.0
7,128.0,128.0,128.0,1.0
8,128.0,128.0,128.0,0.5
9,128.0,128.0,128.0,0.25
10,128.0,128.0,64.0,128.0
11,128.0,128.0,64.0,64.0
12,128.0,128.0,64.0,32.0
13,128.0,128.0,64.0,16.0
14,128.0,128.0,64.0,8.0
15,128.0,128.0,64.0,4.0
16,128.0,128.0,64.0,2.0
17,128.0,128.0,64.0,1.0
18,128.0,128.0,64.0,0.5
19,128.0,128.0,64.0,0.25
20,128.0,128.0,32.0,128.0
21,128.0,128.0,32.0,64.0
22,128.0,128.0,32.0,32.0
23,128.0,128.0,32.0,16.0
24,128.0,128.0,32.0,8.0
25,128.0,128.0,32.0,4.0
26,128.0,128.0,32.0,2.0
27,128.0,128.0,32.0,1.0
28,128.0,128.0,32.0,0.5
29,128.0,128.0,32.0,0.25
30,128.0,128.0,16.0,128.0
31,128.0,128.0,16.0,64.0
32,128.0,128.0,16.0,32.0
33,128.0,128.0,16.0,16.0
34,128.0,128.0,16.0,8.0
35,128.0,128.0,16.0,4.0
36,128.0,128.0,16.0,2.0
37,128.0,128.0,16.0,1.0
38,128.0,128.0,16.0,0.5
39,128.0,128.0,16.0,0.25
40,128.0,128.0,8.0,128.0
41,128.0,128.0,8.0,64.0
42,128.0,128.0,8.0,32.0
43,128.0,128.0,8.0,16.0
44,128.0,128.0,8.0,8.0
45,128.0,128.0,8.0,4.0
46,128.0,128.0,8.0,2.0
47,128.0,128.0,8.0,1.0
48,128.0,128.0,8.0,0.5
49,128.0,128.0,8.0,0.25
50,128.0,128.0,4.0,128.0
51,128.0,128.0,4.0,64.0
52,128.0,128.0,4.0,32.0
53,128.0,128.0,4.0,16.0
54,128.0,128.0,4.0,8.0
55,128.0,128.0,4.0,4.0
56,128.0,128.0,4.0,2.0
57,128.0,128.0,4.0,1.0
58,128.0,128.0,4.0,0.5
59,128.0,128.0,4.0,0.25
60,128.0,128.0,2.0,128.0
61,128.0,128.0,2.0,64.0
62,128.0,128.0,2.0,32.0
63,128.0,128.0,2.0,16.0
64,128.0,128.0,2.0,8.0
65,128.0,128.0,2.0,4.0
66,128.0,128.0,2.0,2.0
67,128.0,128.0,2.0,1.0
68,128.0,128.0,2.0,0.5
69,128.0,128.0,2.0,0.25
70,128.0,128.0,1.0,128.0
71,128.0,128.0,1.0,64.0
72,128.0,128.0,1.0,32.0
73,128.0,128.0,1.0,16.0
74,128.0,128.0,1.0,8.0
75,128.0,128.0,1.0,4.0
76,128.0,128.0,1.0,2.0
77,128.0,128.0,1.0,1.0
78,128.0,128.0,1.0,0.5
79,128.0,128.0,1.0,0.25
80,128.0,128.0,0.5,128.0
81,128.0,128.0,0.5,64.0
82,128.0,128.0,0.5,32.0
83,128.0,128.0,0.5,16.0
84,128.0,128.0,0.5,8.0
85,128.0,128.0,0.5,4.0
86,128.0,128.0,0.5,2.0
87,128.0,128.0,0.5,1.0
88,128.0,128.0,0.5,0.5
89,128.0,128.0,0.5,0.25
90,128.0,128.0,0.25,128.0
91,128.0,128.0,0.25,64.0
92,128.0,128.0,0.25,32.0
93,128.0,128.0,0.25,16.0
94,128.0,128.0,0.25,8.0
95,128.0,128.0,0.25,4.0
96,128.0,128.0,0.25,2.0
97,128.0,128.0,0.25,1.0
98,128.0,128.0,0.25,0.5
99,128.0,128.0,0.25,0.25
100,128.0,64.0,128.0,128.0
101,128.0,64.0,128.0,64.0
102,128.0,64.0,128.0,32.0
103,128.0,64.0,128.0,16.0
104,128.0,64.0,128.0,8.0
105,128.0,64.0,128.0,4.0
106,128.0,64.0,128.0,2.0
107,128.0,64.0,128.0,1.0
108,128.0,64.0,128.0,0.5
109,128.0,64.0,128.0,0.25
110,128.0,64.0,64.0,128.0
111,128.0,64.0,64.0,64.0
112,128.0,64.0,64.0,32.0
113,128.0,64.0,64.0,16.0
114,128.0,64.0,64.0,8.0
115,128.0,64.0,64.0,4.0
116,128.0,64.0,64.0,2.0
117,128.0,64.0,64.0,1.0
118,128.0,64.0,64.0,0.5
119,128.0,64.0,64.0,0.25
120,128.0,64.0,32.0,128.0
121,128.0,64.0,32.0,64.0
122,128.0,64.0,32.0,32.0
123,128.0,64.0,32.0,16.0
124,128.0,64.0,32.0,8.0
125,128.0,64.0,32.0,4.0
126,128.0,64.0,32.0,2.0
127,128.0,64.0,32.0,1.0
128,128.0,64.0,32.0,0.5
129,128.0,64.0,32.0,0.25
130,128.0,64.0,16.0,128.0
131,128.0,64.0,16.0,64.0
132,128.0,64.0,16.0,32.0
133,128.0,64.0,16.0,16.0
134,128.0,64.0,16.0,8.0
135,128.0,64.0,16.0,4.0
136,128.0,64.0,16.0,2.0
137,128.0,64.0,16.0,1.0
138,128.0,64.0,16.0,0.5
