index,0,1,2,3
275314,4.0,16.0,64.0,8.0
69039,0.25,16.0,0.25,0.0
66036,2.0,16.0,2.0,0.0
276131,2.0,64.0,16.0,64.0
918049,0.0,0.5,8.0,0.25
274736,8.0,1.0,16.0,2.0
276617,2.0,2.0,64.0,1.0
279530,0.25,4.0,16.0,128.0
271449,64.0,8.0,8.0,0.25
118019,0.5,0.0,64.0,0.25
79057,0.25,4.0,0.0,1.0
277380,1.0,16.0,0.5,128.0
915009,0.0,4.0,128.0,0.25
273263,16.0,32.0,2.0,16.0
277828,1.0,0.5,32.0,0.5
271044,64.0,128.0,8.0,8.0
271430,64.0,8.0,16.0,128.0
275699,4.0,2.0,0.25,0.25
277283,1.0,32.0,0.5,16.0
277603,1.0,2.0,128.0,16.0
273049,16.0,128.0,8.0,0.25
860085,0.0,0.5,4.0,0.0
63035,16.0,16.0,4.0,0.0
77096,1.0,0.25,0.0,2.0
279331,0.25,16.0,16.0,64.0
275756,4.0,1.0,4.0,2.0
276921,2.0,0.25,32.0,64.0
274819,8.0,0.5,64.0,0.25
918061,0.0,0.5,2.0,64.0
272652,32.0,2.0,4.0,32.0
110076,128.0,0.0,1.0,2.0
274019,8.0,128.0,64.0,0.25
276620,2.0,2.0,32.0,128.0
274326,8.0,16.0,32.0,2.0
271479,64.0,8.0,1.0,0.25
68060,0.5,2.0,128.0,0.0
110042,128.0,0.0,8.0,32.0
271228,64.0,32.0,32.0,0.5
271352,64.0,16.0,4.0,32.0
278300,0.5,16.0,128.0,128.0
277167,1.0,64.0,2.0,1.0
274617,8.0,2.0,64.0,1.0
118016,0.5,0.0,64.0,2.0
276866,2.0,0.5,2.0,2.0
66045,2.0,8.0,4.0,0.0
274657,8.0,2.0,4.0,1.0
279978,0.25,0.25,1.0,0.5
276008,2.0,128.0,128.0,0.5
62043,32.0,8.0,16.0,0.0
272282,32.0,32.0,0.5,32.0
277168,1.0,64.0,2.0,0.5
75074,4.0,1.0,0.0,8.0
274593,8.0,4.0,0.25,16.0
67091,1.0,0.25,64.0,0.0
