,(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin,Cell viability
0,128.0,32.0,3200.0,512.0,0.011
1,128.0,32.0,3200.0,256.0,0.101
2,128.0,32.0,3200.0,128.0,0.13
3,128.0,32.0,3200.0,64.0,0.135
4,128.0,32.0,3200.0,32.0,0.15
5,128.0,32.0,3200.0,16.0,0.142
6,128.0,32.0,3200.0,8.0,0.153
7,128.0,32.0,3200.0,4.0,0.151
8,128.0,32.0,3200.0,2.0,0.155
9,128.0,32.0,3200.0,1.0,0.157
10,128.0,32.0,3200.0,0.5,0.162
11,128.0,32.0,3200.0,0.0,0.162
12,128.0,32.0,1600.0,512.0,0.445
13,128.0,32.0,1600.0,256.0,0.515
14,128.0,32.0,1600.0,128.0,0.54
15,128.0,32.0,1600.0,64.0,0.551
16,128.0,32.0,1600.0,32.0,0.574
17,128.0,32.0,1600.0,16.0,0.566
18,128.0,32.0,1600.0,8.0,0.565
19,128.0,32.0,1600.0,4.0,0.571
20,128.0,32.0,1600.0,2.0,0.567
21,128.0,32.0,1600.0,1.0,0.577
22,128.0,32.0,1600.0,0.5,0.573
23,128.0,32.0,1600.0,0.0,0.58
24,128.0,32.0,800.0,512.0,0.653
25,128.0,32.0,800.0,256.0,0.719
26,128.0,32.0,800.0,128.0,0.752
27,128.0,32.0,800.0,64.0,0.768
28,128.0,32.0,800.0,32.0,0.774
29,128.0,32.0,800.0,16.0,0.785
30,128.0,32.0,800.0,8.0,0.78
31,128.0,32.0,800.0,4.0,0.783
32,128.0,32.0,800.0,2.0,0.786
33,128.0,32.0,800.0,1.0,0.791
34,128.0,32.0,800.0,0.5,0.787
35,128.0,32.0,800.0,0.0,0.786
36,128.0,32.0,400.0,512.0,0.761
37,128.0,32.0,400.0,256.0,0.828
38,128.0,32.0,400.0,128.0,0.862
39,128.0,32.0,400.0,64.0,0.878
40,128.0,32.0,400.0,32.0,0.885
41,128.0,32.0,400.0,16.0,0.888
42,128.0,32.0,400.0,8.0,0.891
43,128.0,32.0,400.0,4.0,0.89
44,128.0,32.0,400.0,2.0,0.89
45,128.0,32.0,400.0,1.0,0.892
46,128.0,32.0,400.0,0.5,0.893
47,128.0,32.0,400.0,0.0,0.894
48,128.0,32.0,200.0,512.0,0.808
49,128.0,32.0,200.0,256.0,0.878
50,128.0,32.0,200.0,128.0,0.91
51,128.0,32.0,200.0,64.0,0.93
52,128.0,32.0,200.0,32.0,0.936
53,128.0,32.0,200.0,16.0,0.943
54,128.0,32.0,200.0,8.0,0.944
55,128.0,32.0,200.0,4.0,0.945
56,128.0,32.0,200.0,2.0,0.946
57,128.0,32.0,200.0,1.0,0.944
58,128.0,32.0,200.0,0.5,0.946
59,128.0,32.0,200.0,0.0,0.947
60,128.0,32.0,100.0,512.0,0.836
61,128.0,32.0,100.0,256.0,0.903
62,128.0,32.0,100.0,128.0,0.939
63,128.0,32.0,100.0,64.0,0.955
64,128.0,32.0,100.0,32.0,0.965
65,128.0,32.0,100.0,16.0,0.968
66,128.0,32.0,100.0,8.0,0.972
67,128.0,32.0,100.0,4.0,0.973
68,128.0,32.0,100.0,2.0,0.971
69,128.0,32.0,100.0,1.0,0.973
70,128.0,32.0,100.0,0.5,0.974
71,128.0,32.0,100.0,0.0,0.973
72,128.0,32.0,50.0,512.0,0.846
73,128.0,32.0,50.0,256.0,0.915
74,128.0,32.0,50.0,128.0,0.952
75,128.0,32.0,50.0,64.0,0.97
76,128.0,32.0,50.0,32.0,0.976
77,128.0,32.0,50.0,16.0,0.981
78,128.0,32.0,50.0,8.0,0.982
79,128.0,32.0,50.0,4.0,0.985
80,128.0,32.0,50.0,2.0,0.985
81,128.0,32.0,50.0,1.0,0.985
82,128.0,32.0,50.0,0.5,0.986
83,128.0,32.0,50.0,0.0,0.986
84,128.0,32.0,25.0,512.0,0.853
85,128.0,32.0,25.0,256.0,0.924
86,128.0,32.0,25.0,128.0,0.958
87,128.0,32.0,25.0,64.0,0.974
88,128.0,32.0,25.0,32.0,0.985
89,128.0,32.0,25.0,16.0,0.988
90,128.0,32.0,25.0,8.0,0.991
