(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin,Cell viability
4.0,4.0,1600.0,32,0.974
0.25,4.0,6.25,0,0.878
2.0,4.0,50.0,0,0.913
2.0,16.0,400.0,256,0.936
0.0,0.125,200.0,1,0.822
8.0,0.25,400.0,8,0.848
2.0,0.5,1600.0,4,0.885
0.25,1.0,400.0,512,0.775
64.0,2.0,200.0,1,0.904
0.5,0.0,1600.0,1,1.0
0.25,1.0,0.0,4,0.932
1.0,4.0,12.5,512,0.908
0.0,1.0,3200.0,1,0.849
16.0,8.0,50.0,64,0.783
1.0,0.125,800.0,2,0.744
64.0,32.0,200.0,32,0.754
64.0,2.0,400.0,512,0.807
4.0,0.5,6.25,1,0.847
1.0,8.0,12.5,64,0.772
1.0,0.5,3200.0,64,0.737
16.0,32.0,200.0,1,0.722
0.0,0.125,100.0,0,0.758
16.0,4.0,100.0,0,0.74
1.0,0.0625,0.0,8,0.718
0.25,4.0,400.0,256,0.798
4.0,0.25,100.0,8,0.787
2.0,0.0625,800.0,256,0.887
8.0,0.125,1600.0,1,0.097
0.0,0.125,50.0,256,0.891
32.0,0.5,100.0,128,0.895
128.0,0.0,25.0,8,0.742
8.0,32.0,1600.0,1,0.779
2.0,0.5,800.0,512,0.76
8.0,4.0,800.0,8,0.797
64.0,2.0,25.0,1,0.794
0.5,0.5,3200.0,0,0.771
128.0,0.0,200.0,128,0.911
64.0,8.0,800.0,2,0.914
64.0,4.0,100.0,128,0.842
0.5,4.0,3200.0,512,0.774
1.0,16.0,50.0,4,0.797
8.0,0.5,1600.0,4,0.762
0.5,0.0,1600.0,8,0.711
2.0,0.125,50.0,8,0.96
2.0,2.0,100.0,0,1.0
8.0,0.5,100.0,4,0.868
0.25,0.0625,25.0,2,0.925
2.0,32.0,3200.0,2,1.0
32.0,2.0,400.0,0,0.971
32.0,8.0,12.5,128,1.0
1.0,16.0,50.0,2,0.879
4.0,0.25,0.0,32,0.742
8.0,1.0,6.25,64,0.755
1.0,0.0625,1600.0,0,1.0
