(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin,Cell viability
1.0,2.0,0.0,0.5,0.707
64.0,2.0,3.125,128.0,0.636
4.0,4.0,1600.0,4.0,0.726
0.5,0.5,400.0,8.0,0.573
0.125,0.0625,100.0,0.0,0.408
32.0,8.0,400.0,128.0,0.463
0.125,8.0,800.0,0.0,0.64
0.25,16.0,0.0,4.0,1.0
0.5,32.0,3200.0,0.5,0.593
1.0,0.03125,50.0,64.0,0.836
128.0,0.5,100.0,32.0,0.868
64.0,4.0,6.25,1.0,0.726
0.5,4.0,50.0,0.0,0.612
1.0,16.0,100.0,64.0,0.688
0.5,32.0,100.0,256.0,0.743
64.0,4.0,100.0,512.0,0.838
64.0,0.5,50.0,0.0,0.773
4.0,0.0,800.0,0.0,0.735
1.0,8.0,400.0,0.5,0.919
32.0,0.0625,0.0,128.0,1.0
64.0,0.25,25.0,2.0,0.864
0.0,0.125,6.25,0.5,0.759
128.0,32.0,12.5,32.0,0.867
8.0,1.0,6.25,0.5,0.584
8.0,0.03125,400.0,64.0,0.578
0.25,0.125,0.0,32.0,0.826
32.0,0.03125,400.0,2.0,0.537
0.125,0.0625,3200.0,64.0,0.197
0.0,8.0,12.5,256.0,1.0
1.0,0.125,200.0,128.0,1.0
128.0,4.0,400.0,0.0,0.806
1.0,8.0,6.25,256.0,0.508
0.125,0.03125,400.0,4.0,0.445
16.0,8.0,3.125,128.0,0.785
0.0,0.5,400.0,256.0,0.862
1.0,0.0,400.0,2.0,0.837
128.0,0.03125,50.0,64.0,0.98
8.0,4.0,3.125,16.0,1.0
0.125,0.25,200.0,1.0,1.0
0.25,1.0,0.0,0.5,0.44
1.0,0.0,200.0,32.0,0.404
16.0,0.25,0.0,128.0,0.391
2.0,4.0,12.5,32.0,0.467
0.5,16.0,100.0,16.0,0.482
2.0,0.25,200.0,8.0,0.733
0.5,0.03125,50.0,32.0,1.0
0.25,0.5,12.5,2.0,0.941
16.0,0.5,100.0,16.0,0.765
64.0,0.0625,200.0,4.0,0.76
1.0,0.125,25.0,16.0,0.746
0.5,2.0,1600.0,128.0,1.0
0.5,0.25,12.5,8.0,1.0
0.0,0.125,50.0,2.0,0.747
64.0,0.25,6.25,512.0,0.931
