,(+)-Griseofulvin,(S)-(+)-Camptothecin,Chloramphenicol,Metformin,Cell viability
0,128.0,32.0,3200.0,512.0,0.0
1,128.0,32.0,3200.0,256.0,0.825
2,128.0,32.0,3200.0,128.0,0.549
3,128.0,32.0,3200.0,64.0,0.324
4,128.0,32.0,3200.0,32.0,0.0
5,128.0,32.0,3200.0,16.0,0.911
6,128.0,32.0,1600.0,512.0,0.0
7,128.0,32.0,1600.0,256.0,0.63
8,128.0,32.0,1600.0,128.0,0.909
9,128.0,32.0,1600.0,64.0,0.33
10,128.0,32.0,1600.0,32.0,0.725
11,128.0,32.0,1600.0,16.0,0.823
12,128.0,32.0,800.0,512.0,0.957
13,128.0,32.0,800.0,256.0,0.515
14,128.0,32.0,800.0,128.0,0.614
15,128.0,32.0,800.0,64.0,0.539
16,128.0,32.0,800.0,32.0,0.606
17,128.0,32.0,800.0,16.0,0.974
18,128.0,32.0,400.0,512.0,0.663
19,128.0,32.0,400.0,256.0,0.909
20,128.0,32.0,400.0,128.0,0.82
21,128.0,32.0,400.0,64.0,0.718
22,128.0,32.0,400.0,32.0,0.762
23,128.0,32.0,400.0,16.0,0.784
24,128.0,32.0,200.0,512.0,0.712
25,128.0,32.0,200.0,256.0,0.729
26,128.0,32.0,200.0,128.0,0.814
27,128.0,32.0,200.0,64.0,0.825
28,128.0,32.0,200.0,32.0,0.985
29,128.0,32.0,200.0,16.0,0.867
30,128.0,32.0,100.0,512.0,0.697
31,128.0,32.0,100.0,256.0,0.786
32,128.0,32.0,100.0,128.0,0.892
33,128.0,32.0,100.0,64.0,0.974
34,128.0,32.0,100.0,32.0,0.927
35,128.0,32.0,100.0,16.0,0.989
36,128.0,16.0,3200.0,512.0,0.578
37,128.0,16.0,3200.0,256.0,0.0
38,128.0,16.0,3200.0,128.0,0.0
39,128.0,16.0,3200.0,64.0,0.278
40,128.0,16.0,3200.0,32.0,0.097
41,128.0,16.0,3200.0,16.0,0.0
42,128.0,16.0,1600.0,512.0,0.072
43,128.0,16.0,1600.0,256.0,0.442
44,128.0,16.0,1600.0,128.0,0.069
45,128.0,16.0,1600.0,64.0,0.814
46,128.0,16.0,1600.0,32.0,0.295
47,128.0,16.0,1600.0,16.0,0.888
48,128.0,16.0,800.0,512.0,0.535
49,128.0,16.0,800.0,256.0,0.515
50,128.0,16.0,800.0,128.0,0.653
51,128.0,16.0,800.0,64.0,0.605
52,128.0,16.0,800.0,32.0,0.591
53,128.0,16.0,800.0,16.0,0.771
